ciclo,periodo,tipo_recurso_clase,desc_tipo_recurso_clase,rubro,desc_rubro,tipo,desc_tipo,clase,desc_clase,concepto,desc_concepto,concepto_especifico,desc_concepto_esp,monto_estimado,monto_recaudado
2020,Primer Trimestre,1,Ingresos locales,1,Impuestos,1.3,"Impuestos sobre la producci¢n, el consumo y las transacciones",1.3.1,Sobre Espectáculos Públicos,,,,,118840308,38290857.05
2020,Primer Trimestre,1,Ingresos locales,1,Impuestos,1.3,"Impuestos sobre la producci¢n, el consumo y las transacciones",1.3.2,"Sobre Loter¡as, Rifas, Sorteos y Concursos",,,,,129942832,131735292.9
2020,Primer Trimestre,1,Ingresos locales,1,Impuestos,1.3,"Impuestos sobre la producci¢n, el consumo y las transacciones",1.3.5,Por las Erogaciones en Juegos con Apuestas,,,,,56751313,55590028
2020,Primer Trimestre,1,Ingresos locales,1,Impuestos,1.7,Accesorios de los Impuestos,1.7.1,Accesorios de los Impuestos,,,,,110672274,137657453.7
2020,Primer Trimestre,1,Ingresos locales,4,Derechos,4.1,"Derechos por el uso, goce, aprovechamiento o explotaci¢n de bienes de dominio p£blico",4.1.3,Por el Uso o Aprovechamiento de Inmuebles,,,,,39187834,34508812.42
2020,Primer Trimestre,1,Ingresos locales,4,Derechos,4.3,Derechos por prestaci¢n de servicios,4.3.4,"Por la Prestaci¢n de Servicios del Registro P£blico de la Propiedad y de Comercio, y del Archivo General de Notar¡as",,,,,319748710,298090790.9
2020,Primer Trimestre,1,Ingresos locales,4,Derechos,4.3,Derechos por prestaci¢n de servicios,4.3.7,Por los Servicios de Alineamiento y Se¤alamiento de N£mero Oficial y Expedici¢n de Constancias de Zonificaci¢n y Uso de Inmuebles,,,,,13079960,13558024.24
2020,Primer Trimestre,1,Ingresos locales,5,Productos,5.1,Productos,5.1.1,Productos derivados del uso y aprovechamiento de bienes no sujetos a r‚gimen de dominio p£blico,5.1.1.1,Por la prestaci¢n de servicios que corresponden a funciones de derecho privado,5.1.1.1.1,,1432430910,2094270295
2020,Primer Trimestre,1,Ingresos locales,5,Productos,5.1,Productos,5.1.1,Productos derivados del uso y aprovechamiento de bienes no sujetos a r‚gimen de dominio p£blico,5.1.1.1,Por la prestaci¢n de servicios que corresponden a funciones de derecho privado,5.1.1.1.2,,995584693,872520166.5
2020,Primer Trimestre,1,Ingresos locales,5,Productos,5.1,Productos,5.1.1,Productos derivados del uso y aprovechamiento de bienes no sujetos a r‚gimen de dominio p£blico,5.1.1.1,Por la prestaci¢n de servicios que corresponden a funciones de derecho privado,5.1.1.1.3,,0,0
2020,Primer Trimestre,1,Ingresos locales,5,Productos,5.1,Productos,5.1.2,"Derivados del uso, aprovechamiento o enajenaci¢n de bienes no sujetos al r‚gimen de dominio p£blico",5.1.2.1,Enajenaci¢n de Bienes Muebles no Sujetos a ser Inventariados,5.1.2.1.1,,0,0
2020,Primer Trimestre,1,Ingresos locales,5,Productos,5.1,Productos,5.1.2,"Derivados del uso, aprovechamiento o enajenaci¢n de bienes no sujetos al r‚gimen de dominio p£blico",5.1.2.1,Enajenaci¢n de Bienes Muebles no Sujetos a ser Inventariados,5.1.2.1.2,,129807910,33583263
2020,Primer Trimestre,1,Ingresos locales,5,Productos,5.1,Productos,5.1.2,"Derivados del uso, aprovechamiento o enajenaci¢n de bienes no sujetos al r‚gimen de dominio p£blico",5.1.2.1,Enajenaci¢n de Bienes Muebles no Sujetos a ser Inventariados,5.1.2.1.3,,265322,396413.16
2020,Primer Trimestre,1,Ingresos locales,5,Productos,5.1,Productos,5.1.5,Productos Financieros,,,,,565703994,359903140.1
2020,Primer Trimestre,1,Ingresos locales,6,Aprovechamientos,6.1,Aprovechamientos,6.1.1,Multas,6.1.1.1,Multas de Tr nsito,,,127479870,109123749.8
2020,Primer Trimestre,1,Ingresos locales,6,Aprovechamientos,6.1,Aprovechamientos,6.1.2,Indemnizaciones,6.1.2.1,"Sanciones, Responsabilidades e Indemnizaciones",,,10977018,127703.21
2020,Primer Trimestre,1,Ingresos locales,6,Aprovechamientos,6.1,Aprovechamientos,6.1.2,Indemnizaciones,6.1.2.3,"Seguros, Reaseguros, Fianzas y Cauciones",,,2937784,4899429.99
2020,Primer Trimestre,1,Ingresos locales,6,Aprovechamientos,6.1,Aprovechamientos,6.1.6,Otros Aprovechamientos,6.1.6.3,Aprovechamientos que se Destinen a la Unidad Generadora de los mismos,,,118269674,31136557.82
2020,Primer Trimestre,1,Ingresos locales,6,Aprovechamientos,6.1,Aprovechamientos,6.1.6,Otros Aprovechamientos,6.1.6.4,Otros No Especificados,,,231605783,211944038.1
2020,Primer Trimestre,1,Ingresos locales,6,Aprovechamientos,6.1,Aprovechamientos,6.1.7,Accesorios de los Aprovechamientos,,,,,5692698,2268068.84
2020,Primer Trimestre,3,Ingresos del Sector Paraestatal,7,"Ingresos por Venta de Bienes, Prestaci¢n de Servicios y Otros Ingresos",7.2,Ingresos por Venta de Bienes y Prestaci¢n de Servicios de Entidades Paraestatales y Fideicomisos No Empresariales y No Financieros,,,,,,,2751919182,2695952683
2020,Primer Trimestre,2,Recursos federales,8,"Participaciones, Aportaciones, Convenios, Incentivos Derivados de la Colaboraci¢n Fiscal y Fondos Distintos de Aportaciones",8.1,Participaciones,8.1.2,Fondo de Fomento Municipal,,,,,1065244373,1021545038
2020,Primer Trimestre,2,Recursos federales,8,"Participaciones, Aportaciones, Convenios, Incentivos Derivados de la Colaboraci¢n Fiscal y Fondos Distintos de Aportaciones",8.1,Participaciones,8.1.4,Fondo de Fiscalizaci¢n y Recaudaci¢n,,,,,853691936,791914654
2020,Primer Trimestre,2,Recursos federales,8,"Participaciones, Aportaciones, Convenios, Incentivos Derivados de la Colaboraci¢n Fiscal y Fondos Distintos de Aportaciones",8.1,Participaciones,8.1.5,Por el consumo de Gasolinas y Diesel efectuado en la Ciudad de M‚xico,,,,,382790346,305729536
2020,Primer Trimestre,2,Recursos federales,8,"Participaciones, Aportaciones, Convenios, Incentivos Derivados de la Colaboraci¢n Fiscal y Fondos Distintos de Aportaciones",8.2,Aportaciones,8.2.2,Fondo de Aportaciones M£ltiples,,,,,144067539,228007249.4
